observation_date,A939RX0Q048SBEA,Change
2006-04-01,54945,0.03277076847452154
2006-07-01,54886,-0.10738010738010617
2006-10-01,55216,0.6012462194366464
2007-01-01,55260,0.07968704723269049
2007-04-01,55474,0.3872602243937706
2007-07-01,55649,0.31546309983054854
2007-10-01,55857,0.3737713166453993
2008-01-01,55497,-0.6445029271174629
2008-04-01,55705,0.3747950339658024
2008-07-01,55278,-0.76653801274571
2008-10-01,53941,-2.4186837439849507
2009-01-01,53221,-1.3347917168758494
2009-04-01,53017,-0.383307341087169
2009-07-01,53081,0.12071599675576028
2009-10-01,53531,0.8477609690849874
2010-01-01,53683,0.28394761913657085
2010-04-01,54100,0.7767822215599018
2010-07-01,54401,0.5563770794824396
2010-10-01,54569,0.3088178526130081
2011-01-01,54341,-0.4178196411882218
2011-04-01,54610,0.49502217478514243
2011-07-01,54482,-0.2343893059879143
2011-10-01,54979,0.9122278917807813
2012-01-01,55342,0.6602520962549319
2012-04-01,55490,0.26742799320589317
2012-07-01,55454,-0.06487655433411454
2012-10-01,55403,-0.09196811771918778
2013-01-01,55859,0.8230601230980295
2013-04-01,55914,0.09846219946652024
2013-07-01,56272,0.6402689845119269
2013-10-01,56642,0.6575206141598011
2014-01-01,56345,-0.524345891741107
2014-04-01,56968,1.1056881710888256
2014-07-01,57536,0.9970509759865243
2014-10-01,57702,0.28851501668520907
2015-01-01,58121,0.7261446743613842
2015-04-01,58376,0.43873987027063244
2015-07-01,58486,0.1884336028504796
2015-10-01,58470,-0.027356974318637484
2016-01-01,58704,0.4002052334530548
2016-04-01,58787,0.14138729899155766
2016-07-01,59084,0.5052137377311361
2016-10-01,59296,0.3588111840769015
2017-01-01,59494,0.3339179708580664
2017-04-01,59736,0.4067637072646013
2017-07-01,60099,0.6076737645640762
2017-10-01,60674,0.9567546880979716
2018-01-01,61093,0.6905758644559556
2018-04-01,61336,0.39775424353034605
2018-07-01,61622,0.46628407460544974
2018-10-01,61619,-0.004868391158996399
2019-01-01,61939,0.51932033950568
2019-04-01,62385,0.7200632880737468
2019-07-01,63022,1.0210787849643355
2019-10-01,63360,0.5363206499317652
2020-01-01,62415,-1.4914772727272707
2020-04-01,57440,-7.970840342866303
2020-07-01,61906,7.775069637883014
2020-10-01,62544,1.0305947727199394
2021-01-01,63418,1.3974162189818395
2021-04-01,64383,1.5216500047305237
2021-07-01,64850,0.7253467530248692
2021-10-01,65925,1.6576715497301553
2022-01-01,65684,-0.3655669321198318
2022-04-01,65631,-0.08068936118384995
2022-07-01,65939,0.4692904267800335
2022-10-01,66341,0.609654377530755
2023-01-01,66673,0.5004446722238098
2023-04-01,66945,0.4079612436818536
2023-07-01,67499,0.8275449996265616
2023-10-01,67858,0.5318597312552686
2024-01-01,67981,0.1812608682837613
2024-04-01,68320,0.4986687456789429
2024-07-01,68696,0.5503512880562056
2024-10-01,68988,0.4250611389309489
